,Area,Year,Item,Element Code,Unit,value
502198,South-eastern Asia,1963-01-01,"Beans, dry",5312,ha,916150.0
502205,South-eastern Asia,1963-01-01,"Broad beans and horse beans, green",5312,ha,30.0
502210,South-eastern Asia,1963-01-01,Cabbages,5312,ha,47500.0
502213,South-eastern Asia,1963-01-01,Canary seed,5312,ha,1000.0
502216,South-eastern Asia,1963-01-01,Carrots and turnips,5312,ha,650.0
502219,South-eastern Asia,1963-01-01,"Cashew nuts, in shell",5312,ha,8100.0
502222,South-eastern Asia,1963-01-01,"Cassava, fresh",5312,ha,2016653.0
502225,South-eastern Asia,1963-01-01,Castor oil seeds,5312,ha,57290.0
502230,South-eastern Asia,1963-01-01,Cauliflowers and broccoli,5312,ha,4240.0
502233,South-eastern Asia,1963-01-01,Cereals n.e.c.,5312,ha,51000.0
502237,South-eastern Asia,1963-01-01,"Chick peas, dry",5312,ha,130564.0
502241,South-eastern Asia,1963-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",5312,ha,95331.0
502244,South-eastern Asia,1963-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",5312,ha,65630.0
502247,South-eastern Asia,1963-01-01,"Cinnamon and cinnamon-tree flowers, raw",5312,ha,20000.0
502250,South-eastern Asia,1963-01-01,"Cloves (whole stems), raw",5312,ha,23350.0
502253,South-eastern Asia,1963-01-01,Cocoa beans,5312,ha,16979.0
502257,South-eastern Asia,1963-01-01,"Coconuts, in shell",5312,ha,3036561.0
502260,South-eastern Asia,1963-01-01,"Coffee, green",5312,ha,332307.0
502264,South-eastern Asia,1963-01-01,"Corn, all",5312,ha,5482401.0
502270,South-eastern Asia,1963-01-01,"Cow peas, dry",5312,ha,26392.0
502274,South-eastern Asia,1963-01-01,Cucumbers and gherkins,5312,ha,28483.0
502278,South-eastern Asia,1963-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",5312,ha,218716.0
502282,South-eastern Asia,1963-01-01,"Ginger, raw",5312,ha,4650.0
502286,South-eastern Asia,1963-01-01,Grapes,5312,ha,100.0
502289,South-eastern Asia,1963-01-01,Green garlic,5312,ha,32178.0
