,Area,Year,Item,Element Code,Unit,value
506186,South-eastern Asia,1977-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2630.0
506189,South-eastern Asia,1977-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,500.0
506192,South-eastern Asia,1977-01-01,Areca nuts,5312,ha,113305.0
506196,South-eastern Asia,1977-01-01,Avocados,5312,ha,20505.0
506199,South-eastern Asia,1977-01-01,Bananas,5312,ha,678862.0
506202,South-eastern Asia,1977-01-01,"Beans, dry",5312,ha,1173000.0
506209,South-eastern Asia,1977-01-01,"Broad beans and horse beans, green",5312,ha,40.0
506214,South-eastern Asia,1977-01-01,Cabbages,5312,ha,55050.0
506217,South-eastern Asia,1977-01-01,Canary seed,5312,ha,3000.0
506469,South-eastern Asia,1978-01-01,"Abaca, manila hemp, raw",5312,ha,244290.0
506472,South-eastern Asia,1978-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3500.0
506475,South-eastern Asia,1978-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,500.0
506478,South-eastern Asia,1978-01-01,Areca nuts,5312,ha,111891.0
506481,South-eastern Asia,1978-01-01,Asparagus,5312,ha,0.0
506484,South-eastern Asia,1978-01-01,Avocados,5312,ha,19308.0
506487,South-eastern Asia,1978-01-01,Bananas,5312,ha,691990.0
506490,South-eastern Asia,1978-01-01,"Beans, dry",5312,ha,1247920.0
506497,South-eastern Asia,1978-01-01,"Broad beans and horse beans, green",5312,ha,40.0
506502,South-eastern Asia,1978-01-01,Cabbages,5312,ha,62776.0
506758,South-eastern Asia,1979-01-01,"Abaca, manila hemp, raw",5312,ha,235180.0
506761,South-eastern Asia,1979-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3800.0
506764,South-eastern Asia,1979-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,500.0
506767,South-eastern Asia,1979-01-01,Areca nuts,5312,ha,113000.0
506770,South-eastern Asia,1979-01-01,Asparagus,5312,ha,0.0
506773,South-eastern Asia,1979-01-01,Avocados,5312,ha,14598.0
506776,South-eastern Asia,1979-01-01,Bananas,5312,ha,722837.0
506779,South-eastern Asia,1979-01-01,"Beans, dry",5312,ha,1260430.0
506786,South-eastern Asia,1979-01-01,"Broad beans and horse beans, green",5312,ha,40.0
506791,South-eastern Asia,1979-01-01,Cabbages,5312,ha,57330.0
507047,South-eastern Asia,1980-01-01,"Abaca, manila hemp, raw",5312,ha,236350.0
507050,South-eastern Asia,1980-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3340.0
