,Area,Year,Item,Element Code,Unit,value
9417,World,1980-01-01,Oil palm fruit,5419,hg/ha,69815.0
9488,World,1980-01-01,"Pumpkins, squash and gourds",5419,hg/ha,95026.0
9504,World,1980-01-01,Rape or colza seed,5419,hg/ha,9786.0
9557,World,1980-01-01,Spinach,5419,hg/ha,134327.0
9616,World,1980-01-01,Watermelons,5419,hg/ha,138219.0
9619,World,1980-01-01,Wheat,5419,hg/ha,18554.0
9772,World,1981-01-01,Cranberries,5419,hg/ha,124571.0
9776,World,1981-01-01,Cucumbers and gherkins,5419,hg/ha,130857.0
9800,World,1981-01-01,"Ginger, raw",5419,hg/ha,39883.0
9810,World,1981-01-01,Green garlic,5419,hg/ha,69577.0
9902,World,1981-01-01,Oil palm fruit,5419,hg/ha,76026.0
9973,World,1981-01-01,"Pumpkins, squash and gourds",5419,hg/ha,98657.0
9989,World,1981-01-01,Rape or colza seed,5419,hg/ha,10356.0
10042,World,1981-01-01,Spinach,5419,hg/ha,135975.0
10101,World,1981-01-01,Watermelons,5419,hg/ha,143658.0
10104,World,1981-01-01,Wheat,5419,hg/ha,18800.0
10257,World,1982-01-01,Cranberries,5419,hg/ha,144835.0
10261,World,1982-01-01,Cucumbers and gherkins,5419,hg/ha,131748.0
10285,World,1982-01-01,"Ginger, raw",5419,hg/ha,38366.0
10295,World,1982-01-01,Green garlic,5419,hg/ha,70942.0
10390,World,1982-01-01,Oil palm fruit,5419,hg/ha,85319.0
10461,World,1982-01-01,"Pumpkins, squash and gourds",5419,hg/ha,96742.0
10477,World,1982-01-01,Rape or colza seed,5419,hg/ha,11613.0
10530,World,1982-01-01,Spinach,5419,hg/ha,125536.0
10589,World,1982-01-01,Watermelons,5419,hg/ha,141301.0
10592,World,1982-01-01,Wheat,5419,hg/ha,19992.0
10745,World,1983-01-01,Cranberries,5419,hg/ha,136910.0
10749,World,1983-01-01,Cucumbers and gherkins,5419,hg/ha,131551.0
10773,World,1983-01-01,"Ginger, raw",5419,hg/ha,37945.0
10783,World,1983-01-01,Green garlic,5419,hg/ha,71536.0
10878,World,1983-01-01,Oil palm fruit,5419,hg/ha,78801.0
10949,World,1983-01-01,"Pumpkins, squash and gourds",5419,hg/ha,99939.0
10965,World,1983-01-01,Rape or colza seed,5419,hg/ha,11059.0
11018,World,1983-01-01,Spinach,5419,hg/ha,127475.0
11077,World,1983-01-01,Watermelons,5419,hg/ha,142596.0
11080,World,1983-01-01,Wheat,5419,hg/ha,21258.0
11233,World,1984-01-01,Cranberries,5419,hg/ha,149337.0
11237,World,1984-01-01,Cucumbers and gherkins,5419,hg/ha,134060.0
11261,World,1984-01-01,"Ginger, raw",5419,hg/ha,35449.0
11271,World,1984-01-01,Green garlic,5419,hg/ha,72138.0
11366,World,1984-01-01,Oil palm fruit,5419,hg/ha,86530.0
11437,World,1984-01-01,"Pumpkins, squash and gourds",5419,hg/ha,106559.0
11453,World,1984-01-01,Rape or colza seed,5419,hg/ha,12365.0
11506,World,1984-01-01,Spinach,5419,hg/ha,258967.0
11565,World,1984-01-01,Watermelons,5419,hg/ha,143543.0
11568,World,1984-01-01,Wheat,5419,hg/ha,22201.0
11721,World,1985-01-01,Cranberries,5419,hg/ha,150077.0
11725,World,1985-01-01,Cucumbers and gherkins,5419,hg/ha,133251.0
11749,World,1985-01-01,"Ginger, raw",5419,hg/ha,36744.0
11759,World,1985-01-01,Green garlic,5419,hg/ha,74365.0
11854,World,1985-01-01,Oil palm fruit,5419,hg/ha,88232.0
11925,World,1985-01-01,"Pumpkins, squash and gourds",5419,hg/ha,103524.0
11941,World,1985-01-01,Rape or colza seed,5419,hg/ha,13040.0
11994,World,1985-01-01,Spinach,5419,hg/ha,125083.0
12055,World,1985-01-01,Watermelons,5419,hg/ha,149606.0
12058,World,1985-01-01,Wheat,5419,hg/ha,21719.0
12211,World,1986-01-01,Cranberries,5419,hg/ha,155108.0
12215,World,1986-01-01,Cucumbers and gherkins,5419,hg/ha,135571.0
12239,World,1986-01-01,"Ginger, raw",5419,hg/ha,33975.0
12249,World,1986-01-01,Green garlic,5419,hg/ha,75106.0
12344,World,1986-01-01,Oil palm fruit,5419,hg/ha,91161.0
12415,World,1986-01-01,"Pumpkins, squash and gourds",5419,hg/ha,110525.0
12431,World,1986-01-01,Rape or colza seed,5419,hg/ha,13127.0
12484,World,1986-01-01,Spinach,5419,hg/ha,124167.0
12545,World,1986-01-01,Watermelons,5419,hg/ha,148154.0
12548,World,1986-01-01,Wheat,5419,hg/ha,23213.0
12701,World,1987-01-01,Cranberries,5419,hg/ha,140530.0
12705,World,1987-01-01,Cucumbers and gherkins,5419,hg/ha,137089.0
12729,World,1987-01-01,"Ginger, raw",5419,hg/ha,30461.0
12739,World,1987-01-01,Green garlic,5419,hg/ha,74951.0
12834,World,1987-01-01,Oil palm fruit,5419,hg/ha,90710.0
12905,World,1987-01-01,"Pumpkins, squash and gourds",5419,hg/ha,110463.0
12921,World,1987-01-01,Rape or colza seed,5419,hg/ha,14156.0
12975,World,1987-01-01,Spinach,5419,hg/ha,124753.0
13036,World,1987-01-01,Watermelons,5419,hg/ha,153951.0
13039,World,1987-01-01,Wheat,5419,hg/ha,22900.0
13192,World,1988-01-01,Cranberries,5419,hg/ha,165590.0
13196,World,1988-01-01,Cucumbers and gherkins,5419,hg/ha,135824.0
13220,World,1988-01-01,"Ginger, raw",5419,hg/ha,29776.0
13230,World,1988-01-01,Green garlic,5419,hg/ha,76651.0
13325,World,1988-01-01,Oil palm fruit,5419,hg/ha,94952.0
13396,World,1988-01-01,"Pumpkins, squash and gourds",5419,hg/ha,111266.0
13412,World,1988-01-01,Rape or colza seed,5419,hg/ha,12399.0
13466,World,1988-01-01,Spinach,5419,hg/ha,124482.0
13527,World,1988-01-01,Watermelons,5419,hg/ha,154328.0
13530,World,1988-01-01,Wheat,5419,hg/ha,22926.0
13683,World,1989-01-01,Cranberries,5419,hg/ha,145139.0
13687,World,1989-01-01,Cucumbers and gherkins,5419,hg/ha,133008.0
13711,World,1989-01-01,"Ginger, raw",5419,hg/ha,27619.0
13721,World,1989-01-01,Green garlic,5419,hg/ha,78951.0
13816,World,1989-01-01,Oil palm fruit,5419,hg/ha,100484.0
